path , default , custom, defult_w_count, custom_w_count , defult_w_count_percentage , custom_w_count_percentage , default_wer , default_wacc , custom_wer, custom_wacc
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\09 - User Level Structures in Solaris 20.srt.res ,0.007793654,0.002565512,2,5,0.255102041,0.637755102,2.04,97.96,2.66,97.34
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\10 - Kernel Level Structures in Solaris 20.srt.res ,0.055188055,0.001676727,2,32,0.236406619,3.78250591,3.5,96.5,2.52,97.48
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\11 - Basic Thread Management Interaction.srt.res ,0.018034682,0.005311542,22,1,3.4375,0.15625,4.74,95.26,2.74,97.26
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\12 - PThread Concurrency Quiz.srt.res ,0.022547914,0.152260111,0,41,0,40.19607843,24.32,75.68,19.52,80.48
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\13 - PThread Concurrency Quiz.srt.res ,0.077605322,0.198653199,4,12,8.510638298,25.53191489,80.59,19.41,16.78,83.22
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\14 - Thread Management Visibilty and Design.srt.res ,0.025415896,0.064326338,0,7,0,1.015965167,2.48,97.52,3.4,96.6
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\15 - Issues on Multiple CPUs.srt.res ,0.035211268,0.05994412,0,9,0,1.624548736,4.44,95.56,5,95
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\16 - Synchronization-Related Issues.srt.res ,0.031451036,0.094725957,0,32,0,4.383561644,1.97,98.03,1.95,98.05
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\17 - Number of Threads Quiz.srt.res ,0.092342342,0.02887538,0,9,0,8.035714286,20.31,79.69,22.3,77.7
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\18 - Number of Threads Quiz.srt.res ,0.28057554,0.087759815,12,13,15,16.25,21.56,78.44,28.44,71.56
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\19 - Interrupts and Signals Intro.srt.res ,0.041937094,0.119178768,41,3,8.367346939,0.612244898,2.01,97.99,2.32,97.68
